2022-08-21 22:41:17.300374, info, 32bytes from 192.168.1.1, icmp_seq=9, ttl=64, time=1 ms
2022-08-21 22:41:18.316067, info, 32bytes from 192.168.1.1, icmp_seq=10, ttl=64, time=1 ms
2022-08-21 22:41:19.324986, info, 32bytes from 192.168.1.1, icmp_seq=11, ttl=64, time=1 ms
2022-08-21 22:41:20.334748, info, 32bytes from 192.168.1.1, icmp_seq=12, ttl=64, time=1 ms
2022-08-21 22:41:21.335448, info, 32bytes from 192.168.1.1, icmp_seq=13, ttl=64, time=1 ms
2022-08-21 22:41:22.351939, info, 32bytes from 192.168.1.1, icmp_seq=14, ttl=64, time=3 ms
2022-08-21 22:41:23.361777, info, 32bytes from 192.168.1.1, icmp_seq=15, ttl=64, time=1 ms
2022-08-21 22:41:24.373516, info, 32bytes from 192.168.1.1, icmp_seq=16, ttl=64, time=3 ms
2022-08-21 22:41:25.423637, info, 32bytes from 192.168.1.1, icmp_seq=17, ttl=64, time=44 ms
2022-08-21 22:41:26.391875, info, 32bytes from 192.168.1.1, icmp_seq=18, ttl=64, time=3 ms
2022-08-21 22:41:27.403317, info, 32bytes from 192.168.1.1, icmp_seq=19, ttl=64, time=1 ms
2022-08-21 22:41:28.405415, info, 32bytes from 192.168.1.1, icmp_seq=20, ttl=64, time=1 ms
2022-08-21 22:41:29.414733, info, 32bytes from 192.168.1.1, icmp_seq=21, ttl=64, time=7 ms
2022-08-21 22:41:30.422951, info, 32bytes from 192.168.1.1, icmp_seq=22, ttl=64, time=2 ms
2022-08-21 22:41:31.433967, info, 32bytes from 192.168.1.1, icmp_seq=23, ttl=64, time=1 ms
2022-08-21 22:41:32.445463, info, 32bytes from 192.168.1.1, icmp_seq=24, ttl=64, time=1 ms
2022-08-21 22:41:33.449674, info, 32bytes from 192.168.1.1, icmp_seq=25, ttl=64, time=1 ms
2022-08-21 22:41:34.464986, info, 32bytes from 192.168.1.1, icmp_seq=26, ttl=64, time=1 ms
2022-08-21 22:41:35.479511, info, 32bytes from 192.168.1.1, icmp_seq=27, ttl=64, time=3 ms
2022-08-21 22:41:36.479640, info, 32bytes from 192.168.1.1, icmp_seq=28, ttl=64, time=1 ms
2022-08-21 22:41:37.490668, info, 32bytes from 192.168.1.1, icmp_seq=29, ttl=64, time=1 ms
2022-08-21 22:41:38.494956, info, 32bytes from 192.168.1.1, icmp_seq=30, ttl=64, time=1 ms
2022-08-21 22:41:39.495530, info, 32bytes from 192.168.1.1, icmp_seq=31, ttl=64, time=1 ms
2022-08-21 22:41:40.502640, info, 32bytes from 192.168.1.1, icmp_seq=32, ttl=64, time=2 ms
2022-08-21 22:41:41.517684, info, 32bytes from 192.168.1.1, icmp_seq=33, ttl=64, time=1 ms
2022-08-21 22:41:42.521225, info, 32bytes from 192.168.1.1, icmp_seq=34, ttl=64, time=1 ms
2022-08-21 22:41:43.527199, info, 32bytes from 192.168.1.1, icmp_seq=35, ttl=64, time=5 ms
2022-08-21 22:41:44.543200, info, 32bytes from 192.168.1.1, icmp_seq=36, ttl=64, time=6 ms
2022-08-21 22:41:45.543842, info, 32bytes from 192.168.1.1, icmp_seq=37, ttl=64, time=1 ms
2022-08-21 22:41:46.555355, info, 32bytes from 192.168.1.1, icmp_seq=38, ttl=64, time=1 ms
2022-08-21 22:41:47.567792, info, 32bytes from 192.168.1.1, icmp_seq=39, ttl=64, time=4 ms
2022-08-21 22:41:48.577596, info, 32bytes from 192.168.1.1, icmp_seq=40, ttl=64, time=1 ms
2022-08-21 22:41:49.579908, info, 32bytes from 192.168.1.1, icmp_seq=41, ttl=64, time=1 ms
2022-08-21 22:41:50.582763, info, 32bytes from 192.168.1.1, icmp_seq=42, ttl=64, time=1 ms
2022-08-21 22:41:51.587917, info, 32bytes from 192.168.1.1, icmp_seq=43, ttl=64, time=1 ms
2022-08-21 22:41:52.588857, info, 32bytes from 192.168.1.1, icmp_seq=44, ttl=64, time=1 ms
2022-08-21 22:41:53.597386, info, 32bytes from 192.168.1.1, icmp_seq=45, ttl=64, time=1 ms
2022-08-21 22:41:54.599004, info, 32bytes from 192.168.1.1, icmp_seq=46, ttl=64, time=1 ms
2022-08-21 22:41:55.607986, info, 32bytes from 192.168.1.1, icmp_seq=47, ttl=64, time=5 ms
2022-08-21 22:41:56.604870, info, 32bytes from 192.168.1.1, icmp_seq=48, ttl=64, time=1 ms
2022-08-21 22:41:57.607943, info, 32bytes from 192.168.1.1, icmp_seq=49, ttl=64, time=1 ms
2022-08-21 22:41:58.615009, info, 32bytes from 192.168.1.1, icmp_seq=50, ttl=64, time=1 ms
2022-08-21 22:41:59.627304, info, 32bytes from 192.168.1.1, icmp_seq=51, ttl=64, time=1 ms
2022-08-21 22:42:00.627982, info, 32bytes from 192.168.1.1, icmp_seq=52, ttl=64, time=1 ms
2022-08-21 22:42:01.639438, info, 32bytes from 192.168.1.1, icmp_seq=53, ttl=64, time=1 ms
2022-08-21 22:42:02.641627, info, 32bytes from 192.168.1.1, icmp_seq=54, ttl=64, time=3 ms
2022-08-21 22:42:03.647772, info, 32bytes from 192.168.1.1, icmp_seq=55, ttl=64, time=4 ms
2022-08-21 22:42:04.650099, info, 32bytes from 192.168.1.1, icmp_seq=56, ttl=64, time=4 ms
2022-08-21 22:42:05.658289, info, 32bytes from 192.168.1.1, icmp_seq=57, ttl=64, time=1 ms
2022-08-21 22:42:06.658730, info, 32bytes from 192.168.1.1, icmp_seq=58, ttl=64, time=0 ms
2022-08-21 22:42:07.661201, info, 32bytes from 192.168.1.1, icmp_seq=59, ttl=64, time=1 ms
2022-08-21 22:42:08.674728, info, 32bytes from 192.168.1.1, icmp_seq=60, ttl=64, time=1 ms
2022-08-21 22:42:09.687476, info, 32bytes from 192.168.1.1, icmp_seq=61, ttl=64, time=2 ms
2022-08-21 22:42:10.699441, info, 32bytes from 192.168.1.1, icmp_seq=62, ttl=64, time=1 ms
2022-08-21 22:42:11.702835, info, 32bytes from 192.168.1.1, icmp_seq=63, ttl=64, time=1 ms
2022-08-21 22:42:12.710818, info, 32bytes from 192.168.1.1, icmp_seq=64, ttl=64, time=1 ms
2022-08-21 22:42:13.714667, info, 32bytes from 192.168.1.1, icmp_seq=65, ttl=64, time=1 ms
2022-08-21 22:42:14.721035, info, 32bytes from 192.168.1.1, icmp_seq=66, ttl=64, time=1 ms
2022-08-21 22:42:15.724205, info, 32bytes from 192.168.1.1, icmp_seq=67, ttl=64, time=1 ms
2022-08-21 22:42:16.736715, info, 32bytes from 192.168.1.1, icmp_seq=68, ttl=64, time=1 ms
2022-08-21 22:42:17.751369, info, 32bytes from 192.168.1.1, icmp_seq=69, ttl=64, time=3 ms
2022-08-21 22:42:18.762245, info, 32bytes from 192.168.1.1, icmp_seq=70, ttl=64, time=1 ms
2022-08-21 22:42:19.772437, info, 32bytes from 192.168.1.1, icmp_seq=71, ttl=64, time=1 ms
2022-08-21 22:42:20.783742, info, 32bytes from 192.168.1.1, icmp_seq=72, ttl=64, time=1 ms
2022-08-21 22:42:21.797636, info, 32bytes from 192.168.1.1, icmp_seq=73, ttl=64, time=1 ms
2022-08-21 22:42:22.810167, info, 32bytes from 192.168.1.1, icmp_seq=74, ttl=64, time=1 ms
2022-08-21 22:42:23.827431, info, 32bytes from 192.168.1.1, icmp_seq=75, ttl=64, time=10 ms
2022-08-21 22:42:24.828855, info, 32bytes from 192.168.1.1, icmp_seq=76, ttl=64, time=1 ms
2022-08-21 22:42:25.837064, info, 32bytes from 192.168.1.1, icmp_seq=77, ttl=64, time=1 ms
2022-08-21 22:42:26.852300, info, 32bytes from 192.168.1.1, icmp_seq=78, ttl=64, time=1 ms
2022-08-21 22:42:27.868508, info, 32bytes from 192.168.1.1, icmp_seq=79, ttl=64, time=1 ms
2022-08-21 22:42:28.871169, info, 32bytes from 192.168.1.1, icmp_seq=80, ttl=64, time=1 ms
2022-08-21 22:42:29.881145, info, 32bytes from 192.168.1.1, icmp_seq=81, ttl=64, time=6 ms
2022-08-21 22:42:30.887761, info, 32bytes from 192.168.1.1, icmp_seq=82, ttl=64, time=1 ms
2022-08-21 22:42:31.896332, info, 32bytes from 192.168.1.1, icmp_seq=83, ttl=64, time=1 ms
2022-08-21 22:42:32.908810, info, 32bytes from 192.168.1.1, icmp_seq=84, ttl=64, time=1 ms
2022-08-21 22:42:33.916046, info, 32bytes from 192.168.1.1, icmp_seq=85, ttl=64, time=1 ms
2022-08-21 22:42:34.924399, info, 32bytes from 192.168.1.1, icmp_seq=86, ttl=64, time=1 ms
2022-08-21 22:42:35.927276, info, 32bytes from 192.168.1.1, icmp_seq=87, ttl=64, time=1 ms
2022-08-21 22:42:36.944375, info, 32bytes from 192.168.1.1, icmp_seq=88, ttl=64, time=3 ms
2022-08-21 22:42:37.945979, info, 32bytes from 192.168.1.1, icmp_seq=89, ttl=64, time=1 ms
2022-08-21 22:42:38.950071, info, 32bytes from 192.168.1.1, icmp_seq=90, ttl=64, time=1 ms
2022-08-21 22:42:39.950113, info, 32bytes from 192.168.1.1, icmp_seq=91, ttl=64, time=1 ms
2022-08-21 22:42:40.961414, info, 32bytes from 192.168.1.1, icmp_seq=92, ttl=64, time=1 ms
2022-08-21 22:42:41.969162, info, 32bytes from 192.168.1.1, icmp_seq=93, ttl=64, time=1 ms
2022-08-21 22:42:42.979837, info, 32bytes from 192.168.1.1, icmp_seq=94, ttl=64, time=4 ms
2022-08-21 22:42:43.984863, info, 32bytes from 192.168.1.1, icmp_seq=95, ttl=64, time=4 ms
2022-08-21 22:42:44.990481, info, 32bytes from 192.168.1.1, icmp_seq=96, ttl=64, time=1 ms
2022-08-21 22:42:45.993322, info, 32bytes from 192.168.1.1, icmp_seq=97, ttl=64, time=1 ms
2022-08-21 22:42:46.994430, info, 32bytes from 192.168.1.1, icmp_seq=98, ttl=64, time=1 ms
2022-08-21 22:42:48.009574, info, 32bytes from 192.168.1.1, icmp_seq=99, ttl=64, time=1 ms
2022-08-21 22:42:49.022633, info, 32bytes from 192.168.1.1, icmp_seq=100, ttl=64, time=1 ms
2022-08-21 22:42:50.033884, info, 32bytes from 192.168.1.1, icmp_seq=101, ttl=64, time=3 ms
2022-08-21 22:42:51.039163, info, 32bytes from 192.168.1.1, icmp_seq=102, ttl=64, time=1 ms
